Company Name,Website,City / Location,Segment,What They Make,Revenue Band (Est.),Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Parenteral Drugs India,pdil.in (verify),Asrawad (near Indore) / Kasrawad,Complex APIs & regulated pharma / sterile injectables,"IV Fluids, oncology injectables, anesthesia products (Sevoflurane USP, Isoflurane), veterinary products, SVP dry and liquid injections",Unknown — CIRP (corporate insolvency resolution process),Vinod Kumar Gupta,Director,"Multiple directors per MCA: Vinod Kumar Gupta, Anil Mittal, Manohar Lal Gupta. Founded 1983 by Mr. Pravin Bhartia per secondary sources. MAJOR FLAG: Company is currently under CIRP (Corporate Insolvency Resolution Process) per Zauba Corp and MCA records.",Moderate,"3 plants in India: Asrawad (near Indore), Kasrawad-Dhamnod — manufacturer of IV fluids, oncology, anesthesia. Physical product manufacturer confirmed.",Strong,"Plants in Asrawad and Kasrawad, both in Madhya Pradesh near Indore.",Moderate,"WHO-cGMP certified. Star Export House status. Manufactures IV fluids, oncology, anesthesia — regulated, sterile products. Some specialty (anesthesia agents like Sevoflurane are premium). But IV fluids are somewhat commodity.",Weak,"No evidence of scientist-founder. Directors appear to be businessmen, not technical backgrounds. Founder Pravin Bhartia is businessman profile.",Moderate,"Oncology injectables and anesthesia products have export tailwinds. Star Export House status signals export capability.",Weak,"CURRENTLY UNDER CIRP — this is a critical red flag. Company is insolvent and in resolution process. Last MCA balance sheet filing: March 2021. No recent financial data available.",0,D — Auto-disqualify,Fail — CIRP (Insolvency),"Company is under Corporate Insolvency Resolution Process. Decision-making has shifted to resolution professional — not a promoter building capability. Even if technically a manufacturer with export credentials, the insolvency status means this is not a Federer target. Important pattern: don't confuse 'large company in the same city' with 'target company.' Always check MCA current status before scoring.","N/A — auto-disqualified due to CIRP","indiamart.com/parenteral-drugsindia; zauba corp (CIRP status); MCA filings"
Rusan Healthcare (sister entity / distribution),rusanhealthcare.com,Indore,NOT a manufacturer — distribution/pharma franchise,"Pharma distribution and PCD franchise operations — NOT API or formulation manufacturing",—,—,—,"Separate from Rusan Pharma Ltd. This is the distribution arm / franchise business. C1 fails immediately.",Fail,"Distribution/franchise entity — does not manufacture. Shares brand name with Rusan Pharma Ltd but is a separate, non-manufacturing entity. Classic trap: same brand, same city, different entity type.",Strong,Indore-based.,Fail,Does not manufacture a differentiated product.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored.,Not scored,Not scored.,0,D — Auto-disqualify,Fail — Not a Manufacturer,"Classic research trap: searching for 'Rusan Indore' surfaces both Rusan Pharma (manufacturer, Pithampur SEZ) and Rusan Healthcare (PCD franchise/distribution). The distribution entity fails C1 immediately. This illustrates the importance of verifying C1 before investing research time in other criteria.","N/A","rusanhealthcare.com (distinguished from rusanpharma.com)"
PSA Group (PSA Chemicals and Pharmaceuticals),psapharmaceuticals.com,Pithampur SEZ,Complex APIs & regulated pharma / formulations,"Finished formulation medicines: cardiovascular, pain management, TB, antibacterial, dermatology, herbal/ayurvedic, nutraceuticals — tablets, capsules, syrups, injectables, eye drops; exports to 30+ countries",Unknown (Private; established 1985),Mr. Bharal (founder),Founder / MD,"Founded by Mr. Bharal in 1985. ISO 9001:2008 and WHO-GMP certified. Exports to 30+ countries with 400+ registered products globally. Long-running family-run operation. Technical background of Mr. Bharal not publicly confirmed.",Moderate,"Pithampur SEZ manufacturer per official directory and pharmaadda.in. Produces finished formulations — manufacturer confirmed. But product range spans multiple generic segments — no specialty niche identified.",Strong,"Pithampur SEZ, Madhya Pradesh.",Weak,"ISO 9001 and WHO-GMP only. Products are generic formulations across broad therapeutic segments (cardiovascular, TB, dermatology, herbal — all commodity segments). 400 registered products globally sounds like breadth, not depth. No patents, DSIR recognition, or specialty chemistry identified.",Weak,"Founder Mr. Bharal — no technical/scientific background information available. Business-background promoter appears likely.",Moderate,"30+ country export presence. Pharma export tailwinds. WHO-GMP facilitates emerging market access.",Weak,"No expansion announcement found. Revenue unknown. Generic formulation market is competitive. Signals met: 0 of 5.",30,D — Weak Federer,Fail — Weak ICP Fit,"Fails C3 (generic formulations, no specialty moat) and C4 (no evidence of technical founder). A long-running Pithampur manufacturer with broad product range and decent export credentials — but DeepThought's ICP specifically seeks companies where product rigour is real and proprietary. PSA is a capable generics company, not a Federer.",N/A,"pharmaadda.in; pisapharmaceuticals.com"
Laxmi Organics (Indore/MP presence — verify),laxmiorganics.com,Primary: Mahad/Mumbai. Verify Indore presence.,Custom synthesis & specialty chemicals,"Ethyl acetate, diketene derivatives, specialty acetyl products; expanding into fluorochemicals and specialty intermediates",Rs.300-500Cr (consolidated),Ravi Goenka,CMD,Technical promoter — IIT background. Fluorochemicals and diketene chemistry expertise. BSE listed.,Weak,"Primary manufacturing is in Mahad (Maharashtra) and other sites — NOT Indore. No Indore manufacturing facility identified. Included to illustrate geography filter importance.",Strong,India-headquartered.,Strong,"Diketene derivatives, acetoaceticates, fluorochemicals are specialty. USFDA-compliant facilities. Export-oriented. Differentiated chemistry.",Strong,IIT-background promoter Ravi Goenka.,Strong,Fluorochemicals China+1 beneficiary. Specialty chemicals tailwind.,Strong,Revenue growth 20%+. Capacity expansion underway.,0,D — Auto-disqualify,Fail — No Indore Operational Presence,"Geography filter: Laxmi Organics has no manufacturing or R&D presence in Indore. All operations are in Maharashtra and other states. Included as a fail example to illustrate that a company can be an excellent Federer prospect in another city while failing the city criterion for Indore. If the research brief were 'Maharashtra' Laxmi Organics would be a strong pass.",N/A — wrong city,"laxmiorganics.com; BSE annual report FY24"
Tara Health Foods,tarahealthfoods.com,Indore,Specialty food & nutraceutical ingredients,"Soy protein concentrates, textured soy protein, de-oiled soy lecithin, soy isoflavones — plant-based protein ingredients for food and nutraceutical manufacturers",Rs.30-100Cr (estimated),Not publicly named,"MD/Director (to be verified)",Company appears in Indore manufacturer listings for soy-based ingredients. Research incomplete — requires manual verification of promoter background and revenue.,Moderate,"Listed as manufacturer of soy-based protein ingredients in Indore. But requires verification: is this manufacturing or processing/trading?",Strong,Indore-based per available sources.,Moderate,"Soy protein concentrates and isoflavones are more specialty than commodity soy. Isoflavones are pharmaceutical-grade ingredients. But soy lecithin is fairly commodity.",Weak,Technical background of promoter not verifiable from public sources.,Strong,"Plant-based protein and nutraceutical ingredients sector growing strongly. Make-in-India for food processing. Export opportunities to Europe and USA.",Weak,"Insufficient data on growth signals. Revenue unknown. Requires manual verification.",40,C — Borderline Federer,Borderline — Insufficient Data,"Borderline on C3 (some specialty in isoflavones) and unresolved on C4 (promoter background). Requires manual verification. Listed as placeholder — include only after direct verification of (a) actual manufacturing vs. processing, and (b) promoter/MD technical background.","Soy isoflavones and textured soy protein — plant-based ingredients with growing demand from global food and nutraceutical manufacturers","Indore food manufacturer directories; requires manual verification"
Promed Laboratories,promedlabs.com (to verify),Indore / Sanwer Road Industrial Area,Complex APIs & regulated pharma,"Pharmaceutical formulations — injectable products, parenteral nutrition (to verify); located in Sanwer Road Industrial Area Indore",Unknown,Unknown,—,"Listed in MP pharma company registries. Company requires manual verification. Sanwer Road Industrial Area is established Indore pharma zone.",Weak,Listed in MP Drug License registry. Manufacturing activity to be confirmed.,Strong,Sanwer Road Industrial Area Indore.,Weak,Unknown without manual research.,Weak,Not verifiable from public sources.,Weak,Not verifiable.,Weak,Not verifiable.,0,D — Insufficient Data,Fail — Insufficient Research,"Insufficient public data. Listed in FDA MP registry — worth manual follow-up if Indore pipeline is thin. Illustrates that MP Drug License registry is a useful source for initial universe building, but many companies listed there will be small generic manufacturers that don't meet the Federer profile.","Insufficient data — requires manual verification","MP Food and Drugs Administration registry (cfda MP)"
Inven Pharmaceuticals,invenpharmaceuticals.com (to verify),Indore,Complex APIs & regulated pharma — specialty formulations,"Specialty pharmaceutical formulations (exact products to be verified from website research)",Unknown,Unknown,—,"Listed in multiple Indore pharma company directories. Requires manual website and LinkedIn research.",Weak,Listed in directories. Requires manual verification.,Strong,Indore-based per multiple directory sources.,Weak,Not verifiable without manual research.,Weak,Not verifiable.,Weak,Not verifiable.,Weak,Not verifiable.,0,D — Insufficient Data,Fail — Insufficient Research,"Insufficient data. Listed in multiple 'pharma companies in Indore' aggregators but no substantive product, revenue, or leadership information found. Requires manual research. Included to show pipeline of companies to investigate — approximately 30 such names found in initial Indore pharma directory research, each requiring individual investigation.","Insufficient data","pharmchoices.com; waylonehealthcare.in (Indore pharma lists)"
D.J. Laboratories,djlaboratories.com (to verify),Pithampur,Complex APIs & regulated pharma,"Pharmaceutical manufacturing — exact products to be verified",Unknown,Unknown,—,Listed in Pithampur company directory with phone number. Requires manual verification.,Weak,Listed in Pithampur directory.,Strong,Pithampur Industrial Area.,Weak,Not verifiable without manual research.,Weak,Not verifiable.,Weak,Not verifiable.,Weak,Not verifiable.,0,D — Insufficient Data,Fail — Insufficient Research,"Insufficient data. In Pithampur directory but no public website or business profile found. Included as part of the research funnel documentation — illustrates that approximately 40-50% of companies in industrial directories have minimal digital presence and require cold outreach or physical verification.","Insufficient data","Pithampur company directory (Scribd)"
Angel Remedies,angelremedies.com (to verify),Pithampur SEZ,Complex APIs & regulated pharma,"Pharmaceutical formulations — exact segment to be verified. Listed in MP FDA licensed manufacturer list and Pithampur SEZ.",Unknown,Unknown,—,Listed in MP CFDA and Pithampur SEZ lists.,Weak,Listed in official MP FDA registry and SEZ list — manufacturer confirmed at regulatory level.,Strong,Pithampur SEZ per official registry.,Weak,Not verifiable without manual research.,Weak,Not verifiable.,Weak,Not verifiable.,Weak,Not verifiable.,0,D — Insufficient Data,Fail — Insufficient Research,"Official FDA registration confirms manufacturer status (C1 passes at regulatory level). But C3-C6 cannot be scored without product details. Angel Remedies is a useful example of why FDA/drug license registries are good for C1 verification but insufficient for full ICP scoring.","Insufficient data — passes C1 per FDA registry","MP CFDA list; Pithampur SEZ unit list"
Ipca Laboratories (Pithampur unit),ipca.com,Pithampur SEZ (HQ Mumbai),Complex APIs & regulated pharma,"350+ formulations and 80 APIs across multiple therapeutic segments — anti-malarial, pain management, cardiovascular, anti-diabetic",>Rs.500Cr (Rs.9500Cr consolidated FY2024),P.C. Godha,MD,"MD P.C. Godha — one of 4 WTDs who bought out Bachchan family stake in 1997. Technically experienced pharma leader. But company is BSE/NSE listed large-cap with institutional shareholders and Rs.9500Cr revenue. HQ Mumbai.",Strong,"MHRA UK approved Pithampur SEZ formulation unit. Multiple regulatory approvals. Large-scale manufacturer.",Moderate,"Pithampur SEZ manufacturing unit. HQ and decision-making in Mumbai — not Indore.",Strong,"MHRA UK approved. 350+ formulations, 80 APIs, IDMA Best Patent Award (Balsalazide patent). Technically differentiated.",Strong,Experienced pharma leadership with decades of API and formulation expertise.,Strong,Pharma export tailwinds.,Strong,Revenue Rs.9500Cr FY2024 with growth.,0,D — Auto-disqualify,Fail — Revenue (Rs.9500Cr) + HQ Not Indore,"Two hard fails: (1) Revenue Rs.9500Cr — far exceeds Rs.500Cr ceiling. (2) HQ and decision-making in Mumbai. Pithampur is one of 10+ manufacturing facilities. Not a Federer prospect for Indore list. Important pattern: many large pharma MNCs have a Pithampur unit but are headquartered elsewhere — these all fail the city + revenue criteria simultaneously.",N/A,"ipca.com; screener.in; Wikipedia"
Glenmark Pharmaceuticals (Pithampur unit),glenmarkpharma.com,Pithampur (HQ Mumbai),Complex APIs & regulated pharma,Large generic pharmaceutical company with specialty branded products in dermatology and respiratory,>Rs.500Cr (consolidated),Glenn Saldanha,CMD — Mumbai-based,,Strong,Pithampur manufacturing unit.,Moderate,Pithampur manufacturing unit only — HQ Mumbai.,Strong,Some specialty in dermatology and respiratory products.,Moderate,Glenn Saldanha is technically aware but professional manager.,Strong,Pharma export and specialty pharma tailwinds.,Strong,Growing company.,0,D — Auto-disqualify,Fail — Revenue + HQ Not Indore,"Same pattern as Ipca — large pharma MNC with Pithampur unit but HQ and decision-making in Mumbai. Auto-disqualify.",N/A,"glenmarkpharma.com; BSE filings"
Cipla (Pithampur unit),cipla.com,Pithampur SEZ (HQ Mumbai),Complex APIs & regulated pharma,"Generic and branded pharma — HIV/AIDS, respiratory, oncology",>Rs.500Cr (Rs.3100Cr+ revenue mentioned; consolidated much larger),Umang Vohra,CEO — Mumbai-based,,Strong,Pithampur manufacturing unit (WHO + UK licensing authority approved).,Moderate,Pithampur manufacturing unit only — HQ Mumbai.,Strong,Strong specialty in HIV/AIDS generics and respiratory.,Strong,Technically led company.,Strong,HIV/AIDS global access and oncology tailwinds.,Strong,Strong growth.,0,D — Auto-disqualify,Fail — Revenue + HQ Not Indore,Same pattern as above — large pharma with Pithampur unit. Auto-disqualify.,N/A,cipla.com
Lupin (Pithampur unit),lupin.com,Pithampur (HQ Mumbai),Complex APIs & regulated pharma,"Generic APIs and formulations — cardiovascular, diabetes, asthma",>Rs.500Cr (consolidated Rs.16000Cr+ FY2024),Vinita Gupta,CEO — Mumbai-based,,Strong,Pithampur manufacturing unit.,Moderate,Pithampur unit only.,Moderate,Some specialty in cardiovascular generics.,Strong,Strong technical leadership.,Strong,Export tailwinds.,Strong,Strong growth.,0,D — Auto-disqualify,Fail — Revenue + HQ Not Indore,Same pattern. Large pharma HQ Mumbai. Auto-disqualify.,N/A,lupin.com
Sun Pharma (Pithampur unit),sunpharma.com,Pithampur Sector 1 (HQ Mumbai),Complex APIs & regulated pharma,"Specialty and generic pharma — dermatology, ophthalmology, psychiatry",>Rs.500Cr (consolidated Rs.45000Cr+ FY2024),Dilip Shanghvi,Founder & MD — Mumbai-based,,Strong,Pithampur facility.,Moderate,Pithampur unit only.,Strong,Specialty in dermatology and ophthalmology.,Strong,Dilip Shanghvi — one of India's most technically astute pharma founders.,Strong,Global specialty pharma tailwinds.,Strong,Strong growth.,0,D — Auto-disqualify,Fail — Revenue + HQ Not Indore,"Sun Pharma is India's largest pharma company by market cap. Pithampur unit is one of 40+ global manufacturing sites. No relevance to ICP whatsoever.",N/A,sunpharma.com
Indore Composite Private Limited,indorecomposite.com (to verify),Pithampur Industrial Area,Industrial sensors & instrumentation / specialty engineering,"Composite materials and precision components (exact products to be verified — name suggests advanced composites, potentially for aerospace or automotive)",Unknown,Sapna Patel (contact in directory),Contact person,"Listed in Pithampur directory. Name suggests composite materials manufacturing which could be specialty (aerospace/defence composites) or commodity (plastic injection moulding). Requires manual verification.",Weak,"Pithampur directory listing. Composite materials manufacturing to be confirmed as in-house production.",Strong,Pithampur Industrial Area.,Weak,"'Composite' could mean advanced composites (specialty) or glass-reinforced plastics (commodity). Cannot score without product details.",Weak,Not verifiable.,Weak,"Aerospace/defence composites would have tailwind, but product segment unclear.",Weak,Not verifiable.,0,D — Insufficient Data,Fail — Insufficient Research,"Interesting name — 'composites' could indicate specialty engineering materials for aerospace or defence. Worth manual verification. If they make carbon fibre or advanced polymer composites for aerospace/defence/auto applications, this could be a strong fit. If they make standard GRP or plastic parts, it fails C3.","Composites manufacturer in Pithampur — if product is carbon fibre or advanced engineering composites, this is worth deeper investigation","Pithampur company directory (Scribd)"
